datetime,site_name,county,county_display,site_name_display,aqi,pm25,pseudo_anomaly,zscore_anomaly,isolation_forest_anomaly,anomaly_score,is_anomaly
2026-06-26 03:00:00,前金測站,高雄市,高雄市,前金測站,85.3,51.2,1,0,0,0.3333333333333333,0
2026-06-26 04:00:00,前金測站,高雄市,高雄市,前金測站,85.6,48.2,1,0,0,0.3333333333333333,0
2026-06-26 05:00:00,前金測站,高雄市,高雄市,前金測站,83.5,51.0,1,0,0,0.3333333333333333,0
2026-06-26 06:00:00,前金測站,高雄市,高雄市,前金測站,84.7,51.2,1,0,0,0.3333333333333333,0
2026-06-26 07:00:00,前金測站,高雄市,高雄市,前金測站,96.4,55.1,1,1,1,1.0,1
2026-06-26 08:00:00,前金測站,高雄市,高雄市,前金測站,98.3,58.6,1,0,1,0.6666666666666666,1
2026-06-26 09:00:00,前金測站,高雄市,高雄市,前金測站,88.3,54.2,1,0,0,0.3333333333333333,0
2026-06-26 10:00:00,前金測站,高雄市,高雄市,前金測站,87.1,46.6,1,1,1,1.0,1
2026-06-26 11:00:00,前金測站,高雄市,高雄市,前金測站,94.0,56.5,1,0,1,0.6666666666666666,1
2026-06-26 12:00:00,前金測站,高雄市,高雄市,前金測站,83.7,50.3,1,0,0,0.3333333333333333,0
2026-06-26 13:00:00,前金測站,高雄市,高雄市,前金測站,76.1,46.2,1,0,0,0.3333333333333333,0
2026-06-26 14:00:00,前金測站,高雄市,高雄市,前金測站,88.3,55.6,1,0,0,0.3333333333333333,0
2026-06-26 15:00:00,前金測站,高雄市,高雄市,前金測站,91.4,52.1,1,0,0,0.3333333333333333,0
2026-06-26 16:00:00,前金測站,高雄市,高雄市,前金測站,95.0,54.0,1,0,0,0.3333333333333333,0
2026-06-26 17:00:00,前金測站,高雄市,高雄市,前金測站,95.0,48.8,1,0,0,0.3333333333333333,0
2026-06-26 18:00:00,前金測站,高雄市,高雄市,前金測站,101.2,57.6,1,0,1,0.6666666666666666,1
2026-06-26 19:00:00,前金測站,高雄市,高雄市,前金測站,97.4,50.6,1,0,1,0.6666666666666666,1
2026-06-26 20:00:00,前金測站,高雄市,高雄市,前金測站,95.2,57.2,1,0,0,0.3333333333333333,0
2026-06-26 21:00:00,前金測站,高雄市,高雄市,前金測站,96.5,53.0,1,0,1,0.6666666666666666,1
2026-06-26 22:00:00,前金測站,高雄市,高雄市,前金測站,81.2,47.1,1,0,1,0.6666666666666666,1
2026-06-26 23:00:00,前金測站,高雄市,高雄市,前金測站,82.0,47.7,1,0,0,0.3333333333333333,0
2026-06-27 00:00:00,前金測站,高雄市,高雄市,前金測站,84.9,49.4,1,0,0,0.3333333333333333,0
2026-06-27 01:00:00,前金測站,高雄市,高雄市,前金測站,83.0,52.6,1,0,0,0.3333333333333333,0
2026-06-27 02:00:00,前金測站,高雄市,高雄市,前金測站,74.8,48.4,1,0,0,0.3333333333333333,0
2026-06-27 03:00:00,前金測站,高雄市,高雄市,前金測站,85.6,49.7,1,0,0,0.3333333333333333,0
2026-06-27 04:00:00,前金測站,高雄市,高雄市,前金測站,79.3,54.1,1,0,0,0.3333333333333333,0
2026-06-27 05:00:00,前金測站,高雄市,高雄市,前金測站,82.1,56.9,1,0,0,0.3333333333333333,0
2026-06-27 06:00:00,前金測站,高雄市,高雄市,前金測站,95.6,54.2,1,0,0,0.3333333333333333,0
2026-06-27 07:00:00,前金測站,高雄市,高雄市,前金測站,87.6,52.2,1,0,0,0.3333333333333333,0
2026-06-27 08:00:00,前金測站,高雄市,高雄市,前金測站,100.7,52.8,1,1,1,1.0,1
2026-06-27 09:00:00,前金測站,高雄市,高雄市,前金測站,90.9,52.4,1,0,0,0.3333333333333333,0
2026-06-27 10:00:00,前金測站,高雄市,高雄市,前金測站,85.0,51.5,1,0,0,0.3333333333333333,0
2026-06-27 11:00:00,前金測站,高雄市,高雄市,前金測站,82.7,49.3,1,0,0,0.3333333333333333,0
2026-06-27 12:00:00,前金測站,高雄市,高雄市,前金測站,76.6,50.2,1,0,0,0.3333333333333333,0
2026-06-27 13:00:00,前金測站,高雄市,高雄市,前金測站,85.5,53.8,1,0,0,0.3333333333333333,0
2026-06-27 14:00:00,前金測站,高雄市,高雄市,前金測站,81.0,49.4,1,0,0,0.3333333333333333,0
2026-06-27 15:00:00,前金測站,高雄市,高雄市,前金測站,80.7,47.3,1,0,0,0.3333333333333333,0
2026-06-27 16:00:00,前金測站,高雄市,高雄市,前金測站,89.1,54.1,1,0,0,0.3333333333333333,0
2026-06-27 17:00:00,前金測站,高雄市,高雄市,前金測站,91.9,52.1,1,0,0,0.3333333333333333,0
2026-06-27 18:00:00,前金測站,高雄市,高雄市,前金測站,96.5,48.2,1,0,1,0.6666666666666666,1
2026-06-27 19:00:00,前金測站,高雄市,高雄市,前金測站,91.1,52.2,1,0,0,0.3333333333333333,0
2026-06-27 20:00:00,前金測站,高雄市,高雄市,前金測站,87.0,55.8,1,0,0,0.3333333333333333,0
2026-06-27 21:00:00,前金測站,高雄市,高雄市,前金測站,79.9,48.1,1,0,0,0.3333333333333333,0
2026-06-27 22:00:00,前金測站,高雄市,高雄市,前金測站,92.1,58.2,1,0,1,0.6666666666666666,1
