datetime,site_name,county,aqi,pm25,pm10,o3,co,wind_speed,wind_directions,data_source,county_display,site_name_display
2026-06-26 00:00:00,前金測站,高雄市,83.2,47.3,74.5,48.6,0.752,1.16,241.5,Sample Data,高雄市,前金測站
2026-06-26 01:00:00,前金測站,高雄市,72.4,47.9,88.4,55.3,0.607,1.46,209.8,Sample Data,高雄市,前金測站
2026-06-26 02:00:00,前金測站,高雄市,82.2,51.2,97.0,45.1,0.711,1.94,128.3,Sample Data,高雄市,前金測站
2026-06-26 03:00:00,前金測站,高雄市,85.3,51.2,95.6,46.5,0.707,1.36,237.7,Sample Data,高雄市,前金測站
2026-06-26 04:00:00,前金測站,高雄市,85.6,48.2,74.4,42.8,0.725,1.86,208.7,Sample Data,高雄市,前金測站
2026-06-26 05:00:00,前金測站,高雄市,83.5,51.0,100.1,40.9,0.634,2.07,272.5,Sample Data,高雄市,前金測站
2026-06-26 06:00:00,前金測站,高雄市,84.7,51.2,100.6,43.5,0.604,1.76,214.0,Sample Data,高雄市,前金測站
2026-06-26 07:00:00,前金測站,高雄市,96.4,55.1,106.7,42.7,0.775,0.3,185.1,Sample Data,高雄市,前金測站
2026-06-26 08:00:00,前金測站,高雄市,98.3,58.6,94.4,47.4,0.811,1.62,126.8,Sample Data,高雄市,前金測站
2026-06-26 09:00:00,前金測站,高雄市,88.3,54.2,81.7,41.9,0.71,2.17,233.4,Sample Data,高雄市,前金測站
2026-06-26 10:00:00,前金測站,高雄市,87.1,46.6,67.7,39.8,0.773,0.45,235.8,Sample Data,高雄市,前金測站
2026-06-26 11:00:00,前金測站,高雄市,94.0,56.5,110.9,56.1,0.713,2.26,283.2,Sample Data,高雄市,前金測站
2026-06-26 12:00:00,前金測站,高雄市,83.7,50.3,100.2,41.0,0.75,2.46,248.4,Sample Data,高雄市,前金測站
2026-06-26 13:00:00,前金測站,高雄市,76.1,46.2,71.6,42.1,0.654,2.66,248.2,Sample Data,高雄市,前金測站
2026-06-26 14:00:00,前金測站,高雄市,88.3,55.6,96.1,55.0,0.694,1.76,203.1,Sample Data,高雄市,前金測站
2026-06-26 15:00:00,前金測站,高雄市,91.4,52.1,87.2,63.6,0.686,2.63,278.0,Sample Data,高雄市,前金測站
2026-06-26 16:00:00,前金測站,高雄市,95.0,54.0,104.4,61.0,0.73,2.76,203.0,Sample Data,高雄市,前金測站
2026-06-26 17:00:00,前金測站,高雄市,95.0,48.8,84.3,65.4,0.784,2.49,276.7,Sample Data,高雄市,前金測站
2026-06-26 18:00:00,前金測站,高雄市,101.2,57.6,86.6,59.0,0.826,1.3,199.7,Sample Data,高雄市,前金測站
2026-06-26 19:00:00,前金測站,高雄市,97.4,50.6,86.9,58.6,0.754,1.03,308.5,Sample Data,高雄市,前金測站
