datetime,site_name,county,aqi,pm25,pm10,o3,co,wind_speed,wind_directions
2026-06-30 00:00:00,松山測站,臺北市,107.2,46.5,64.7,59.6,0.775,1.76,133.1
2026-06-30 01:00:00,松山測站,臺北市,60.6,34.9,67.4,47.0,0.526,2.65,130.3
2026-06-30 02:00:00,松山測站,臺北市,61.0,32.5,57.9,47.8,0.563,2.09,166.6
2026-06-30 03:00:00,松山測站,臺北市,59.7,33.4,53.0,49.0,0.544,2.04,144.2
2026-06-30 04:00:00,松山測站,臺北市,61.2,36.1,51.5,35.6,0.604,2.9,221.9
2026-06-30 05:00:00,松山測站,臺北市,57.0,32.4,54.7,39.9,0.563,2.92,198.7
2026-06-30 06:00:00,松山測站,臺北市,65.5,35.6,64.2,35.8,0.56,2.13,280.2
2026-06-30 07:00:00,松山測站,臺北市,64.0,36.3,62.5,37.6,0.614,2.85,244.6
2026-06-30 08:00:00,松山測站,臺北市,68.6,33.1,51.1,33.4,0.55,1.64,231.3
2026-06-30 09:00:00,松山測站,臺北市,69.6,36.8,65.2,42.1,0.596,2.59,170.6
2026-06-30 10:00:00,松山測站,臺北市,63.4,32.1,61.2,37.6,0.583,2.69,234.6
2026-06-30 11:00:00,松山測站,臺北市,65.4,33.4,,35.1,0.519,1.4,158.2
2026-06-30 12:00:00,松山測站,臺北市,62.6,30.3,53.6,41.9,0.615,1.71,204.7
2026-06-30 13:00:00,松山測站,臺北市,55.8,30.4,44.7,45.7,0.558,2.04,139.5
2026-06-30 14:00:00,松山測站,臺北市,62.0,31.3,52.9,54.2,0.563,1.66,231.9
2026-06-30 15:00:00,松山測站,臺北市,64.9,37.7,62.9,56.6,0.53,1.89,174.0
2026-06-30 16:00:00,松山測站,臺北市,64.8,29.4,51.4,46.7,0.538,2.55,274.1
2026-06-30 17:00:00,松山測站,臺北市,79.5,45.8,86.1,49.1,0.672,1.57,208.2
2026-06-30 18:00:00,松山測站,臺北市,67.7,33.8,65.1,55.0,0.551,1.12,207.3
2026-06-30 19:00:00,松山測站,臺北市,69.6,40.0,78.9,54.4,0.552,1.6,197.1
2026-06-30 20:00:00,松山測站,臺北市,78.2,34.3,61.4,62.0,0.671,2.05,237.8
2026-06-30 21:00:00,松山測站,臺北市,61.7,34.1,45.4,48.1,0.582,3.48,251.8
2026-06-30 22:00:00,松山測站,臺北市,62.5,33.9,55.9,50.3,0.633,2.67,330.5
2026-06-30 23:00:00,松山測站,臺北市,63.1,29.5,53.2,57.2,0.571,2.09,329.4
2026-07-01 00:00:00,松山測站,臺北市,56.1,28.8,52.5,46.3,0.539,2.69,329.4
2026-07-01 01:00:00,松山測站,臺北市,62.2,34.9,52.7,42.2,0.515,1.76,236.6
2026-07-01 02:00:00,松山測站,臺北市,66.4,30.0,43.7,43.0,0.646,2.69,331.6
2026-07-01 03:00:00,松山測站,臺北市,61.3,30.6,45.8,41.5,0.518,2.45,273.6
2026-07-01 04:00:00,松山測站,臺北市,75.4,41.7,80.8,36.6,0.609,2.42,330.3
2026-07-01 05:00:00,松山測站,臺北市,61.1,30.7,47.8,33.2,0.544,1.77,261.8
2026-07-01 06:00:00,松山測站,臺北市,59.5,27.9,39.1,31.8,0.655,4.44,205.6
